Pooecetes gramineus,Vesper Sparrow,649
Thamnophis radix,Plains Garter Snake,648
Euphorbia virgata,Slender Leafy Spurge,646
Contopus sordidulus,Western Wood-Pewee,644
Oxytropis sericea,White Point-vetch,640
Melanoplus differentialis,Differential Grasshopper,637
Claytonia megarhiza,alpine springbeauty,634
Castilleja septentrionalis,Labrador Indian-paintbrush,634
Jamesia americana,fivepetal cliffbush,630
Astragalus shortianus,Early Purple Milkvetch,627
Crotaphytus collaris,Eastern Collared Lizard,619
Sympetrum corruptum,Variegated Meadowhawk,618
Phyciodes pulchella,Field Crescent,611
Aquilegia elegantula,western red columbine,607
Cherleria obtusiloba,alpine sandwort,606
Colias eurytheme,Orange Sulphur,603
Bombus nevadensis,Nevada Bumble Bee,601
Populus angustifolia,Narrowleaf Cottonwood,599
Setophaga petechia,Yellow Warbler,596
Lon taxiles,Taxiles Skipper,595
Polemonium viscosum,sky pilot,593
Malacosoma californica,Western Tent Caterpillar Moth,593
Pinus aristata,Rocky Mountain bristlecone pine,591
Viola canadensis,Canada Violet,588
Symphyotrichum ericoides,white heath aster,588
Scutellaria brittonii,Britton's Skullcap,588
Argynnis aphrodite,Aphrodite Fritillary,588
Ambystoma mavortium,Barred Tiger Salamander,584
Berteroa incana,hoary alyssum,584
Spinus pinus,Pine Siskin,584
Chauliognathus basalis,Colorado Soldier Beetle,579
Erigeron divergens,spreading fleabane,577
Clematis ligusticifolia,Western White Clematis,576
Boletus rubriceps,Ruby Porcini,573
Chondestes grammacus,Lark Sparrow,569
Dalea purpurea,purple prairie clover,563
Ribes montigenum,mountain gooseberry,561
Sylvilagus nuttallii,Mountain Cottontail,558
Anabrus simplex,Mormon Cricket,554
Corydalis aurea,golden corydalis,548
Pediomelum tenuiflorum,Slimflower Scurfpea,547
Buteo regalis,Ferruginous Hawk,546
Dissosteira carolina,Carolina Grasshopper,541
Pinus flexilis,limber pine,540
Aquila chrysaetos,Golden Eagle,538
Alyssum simplex,Field Alison,538
Recurvirostra americana,American Avocet,537
Escobaria vivipara,Spinystar,536
Libellula pulchella,Twelve-spotted Skimmer,533
Symphyotrichum laeve,smooth blue aster,532
Eritrichium argenteum,pale alpine forget-me-not,532
Clematis hirsutissima,sugar bowls,531
Solanum rostratum,buffalo-bur,529
Phrynosoma hernandesi,Greater Short-horned Lizard,525
Coluber constrictor,North American Racer,522
Lomatium orientale,Oriental Desert-parsley,522
Hordeum jubatum,Foxtail Barley,518
Fraxinus pennsylvanica,green ash,515
Cardamine cordifolia,heartleaf bittercress,514
Astragalus drummondii,Drummond's Milkvetch,511
Antennaria rosea,Rosy Pussytoes,509
Euphorbia marginata,snow-on-the-mountain,507
Trachemys scripta,Pond Slider,506
Atriplex canescens,Fourwing Saltbush,497
Phymata americana,Jagged Ambush Bug,496
Equisetum arvense,field horsetail,491
Sialia mexicana,Western Bluebird,488
Cirsium scopulorum,Mountain Thistle,487
Trifolium dasyphyllum,whiproot clover,481
Penstemon glaber,Sawsepal Penstemon,480
Sciurus aberti,Abert's Squirrel,479
Monochamus scutellatus,White-spotted Sawyer Beetle,474
Lithospermum incisum,narrowleaf puccoon,473
Nothocalais cuspidata,prairie false dandelion,472
Plebejus melissa,Melissa Blue,467
Urocitellus elegans,Wyoming Ground Squirrel,467
Campanula rapunculoides,Creeping Bellflower,462
Pipilo chlorurus,Green-tailed Towhee,459
Calamospiza melanocorys,Lark Bunting,456
Symphoricarpos occidentalis,Western Snowberry,456
Allium textile,Textile onion,455
Gentiana algida,Arctic Gentian,452
Swertia perennis,felwort,449
Hesperis matronalis,dame's rocket,445
Verbesina encelioides,cowpen daisy,445
Rosa arkansana,prairie rose,440
Lithospermum multiflorum,manyflowered gromwell,440
Descurainia sophia,flixweed,439
Petrochelidon pyrrhonota,Cliff Swallow,434
Tripleurospermum inodorum,scentless mayweed,432
Juniperus osteosperma,Utah Juniper,430
Krascheninnikovia lanata,Winterfat,428
Lathyrus lanszwertii,Nevada Sweet Pea,428
Parthenocissus quinquefolia,Virginia creeper,427
Aythya americana,Redhead,426
Pseudacris maculata,Boreal Chorus Frog,424
Oenothera villosa,hairy evening primrose,424
Ambrosia psilostachya,western ragweed,423
Lynx rufus,Bobcat,421
Solidago multiradiata,northern goldenrod,421
Cardellina pusilla,Wilson's Warbler,421
Senecio spartioides,Broom-like Ragwort,418
Archilestes grandis,Great Spreadwing,418
Solidago simplex,Sticky Goldenrod,416
Gentianella amarella,autumn gentian,412
Faxonius virilis,Virile Crayfish,411
Chelydra serpentina,Common Snapping Turtle,410
Salvelinus fontinalis,Brook Trout,409
Dysdera crocata,Woodlouse Spider,407
Phidippus apacheanus,Apache Jumping Spider,407
Spatula discors,Blue-winged Teal,407
Erigeron canadensis,horseweed,401
Aspidoscelis sexlineatus,Six-lined Racerunner,400
Mentzelia nuda,Bractless Blazingstar,398
Empidonax occidentalis,Cordilleran Flycatcher,397
Lepidium draba,Tall Whitetop,396
Trichodes ornatus,Ornate Checkered Beetle,394
Echinargus isola,Reakirt's Blue,394
Lonicera tatarica,Tatarian honeysuckle,390
Quincula lobata,purple groundcherry,389
Coccothraustes vespertinus,Evening Grosbeak,385
Chortophaga viridifasciata,Green-striped Grasshopper,380
Rudbeckia laciniata,cutleaf coneflower,379
Rudbeckia hirta,black-eyed Susan,376
Oenothera albicaulis,White-stem Evening Primrose,376
Loxia curvirostra,Red Crossbill,374
Eumorpha achemon,Achemon Sphinx,374
Tetraneuris acaulis,Stemless Four-nerved Daisy,373
Loxostege cereralis,Alfalfa Webworm Moth,373
Spatula cyanoptera,Cinnamon Teal,373
Anemone multifida,Cutleaf Anemone,372
Salmo trutta,Brown Trout,370
Thalictrum fendleri,Fendler's Meadow-rue,369
Archilochus alexandri,Black-chinned Hummingbird,367
Sphyrapicus nuchalis,Red-naped Sapsucker,367
Sympetrum pallipes,Striped Meadowhawk,367
Pogonomyrmex occidentalis,Western Harvester Ant,366
Spizelloides arborea,American Tree Sparrow,366
Phlox condensata,dwarf phlox,365
Arctium minus,lesser burdock,365
Alnus incana,gray alder,365
Enallagma civile,Familiar Bluet,365
Otospermophilus variegatus,Rock Squirrel,365
Habronattus festus,,364
Gentianopsis thermalis,Rocky Mountain Fringed Gentian,363
Helicoverpa zea,Corn Earworm Moth,361
Penstemon angustifolius,Broadbeard Beardtongue,361
Haemorhous cassinii,Cassin's Finch,361
Cicindela punctulata,Punctured Tiger Beetle,360
Batyle suturalis,,360
Potentilla hippiana,Woolly Cinquefoil,360
Symphyotrichum falcatum,white prairie aster,360
Xanthogaleruca luteola,Elm Leaf Beetle,360
Cercyonis oetus,Small Wood-Nymph,357
Bombus pensylvanicus,American Bumble Bee,354
Medicago lupulina,Black Medick,354
Amelanchier utahensis,Utah Serviceberry,354
Erigeron modestus,Plains fleabane,354
Penstemon barbatus,Beardlip Penstemon,353
Ligusticum porteri,Osha,352
Micranthes rhomboidea,Diamondleaf Saxifrage,352
Papilio polyxenes,Black Swallowtail,345
Centaurea diffusa,diffuse knapweed,345
Eremogone fendleri,Fendler's sandwort,345
Bombus bifarius,Colorado Black-notched Bumble Bee,345
Euphorbia myrsinites,Donkey Tail,344
Ischnura damula,Plains Forktail,344
Helianthus pumilus,Little Sunflower,343
Euphydryas anicia,Anicia Checkerspot,343
Nathalis iole,Dainty Sulphur,341
Polyphylla decemlineata,Ten-lined June Beetle,341
Rosa acicularis,Prickly Wild Rose,340
Lewisia pygmaea,dwarf lewisia,339
Helianthella quinquenervis,Nodding Dwarf Sunflower,338
Portulaca oleracea,Common Purslane,336
Trifolium parryi,Parry Clover,334
Rhamnus cathartica,common buckthorn,332
Micranthes odontoloma,Brook Saxifrage,330
Araneus gemmoides,Cat-faced Orbweaver,329
Syringa vulgaris,common lilac,328
Blitum capitatum,Beetberry,328
Asparagus officinalis,wild asparagus,326
